iso_alpha3,PopMale-0-19,PopFemale-0-19,PopMale-20-39,PopFemale-20-39,PopMale-40-59,PopFemale-40-59,PopMale-60+,PopFemale-60+
AFG,10709,10197,5994,5574,2485,2316,781,858
AGO,9408,9368,4423,4580,1873,1999,548,647
ALB,365,326,458,402,341,364,290,312
ARE,946,905,3856,1458,1801,601,223,81
ARG,7422,7158,6745,6691,4902,5247,2971,4042
ARM,416,368,437,472,314,398,216,322
ATG,12,12,12,12,11,12,4,4
AUS,3300,3136,3580,3510,3176,3234,2631,2912
AUT,900,846,1204,1151,1292,1290,1033,1270
AZE,1610,1407,1704,1668,1227,1331,514,659
BEL,1345,1266,1462,1424,1584,1530,1345,1615
BEN,3231,3141,1750,1743,794,836,270,339
BFA,5893,5683,2988,2944,1222,1338,331,483
BGD,30478,29164,28048,28225,18014,17639,6708,6390
BGR,685,646,850,792,1015,988,812,1137
BHR,206,190,578,233,259,134,49,34
BHS,57,56,58,60,49,54,18,23
BIH,327,310,439,418,468,477,362,459
BLR,1058,1009,1327,1276,1239,1388,762,1366
BLZ,77,75,65,67,36,36,12,12
BOL,2378,2280,1856,1820,1051,1068,563,639
BRA,30744,29489,34383,34195,26103,27775,13195,16653
BRB,31,31,36,36,36,39,25,34
BRN,66,62,76,66,59,54,16,18
BTN,131,127,157,131,78,66,35,29
CAF,1355,1342,668,669,276,294,86,122
CAN,4062,3877,5233,5138,5008,5017,4418,4970
CHE,878,837,1140,1115,1251,1232,1014,1165
CHL,2501,2416,3012,2925,2429,2499,1474,1838
CHN,180228,157041,215583,198390,222768,215527,119660,130106
CIV,6954,6897,3903,3927,1784,1665,650,579
CMR,7066,6952,3980,3968,1702,1724,518,615
COG,1434,1412,776,774,427,433,109,136
COL,7935,7593,8363,8291,5679,6312,2998,3691
CPV,101,100,100,92,55,53,13,22
CRI,726,693,835,812,617,633,355,401
CUB,1255,1187,1506,1435,1744,1780,1108,1289
CYP,139,130,194,181,153,157,107,124
CZE,1115,1056,1323,1258,1603,1544,1223,1570
DEU,8181,7627,10499,9746,11903,11824,10822,13159
DJI,196,175,177,159,103,92,31,34
DNK,655,623,735,709,773,770,706,800
DOM,2005,1927,1716,1699,1122,1163,565,630
DZA,8373,8033,7002,6843,4618,4627,2151,2185
ECU,3263,3126,2834,2791,1809,1867,907,1027
EGY,22342,21067,16093,15614,9359,9431,3898,4509
ERI,933,896,517,512,218,231,98,121
ESP,4621,4345,5310,5205,7550,7431,5485,6785
EST,142,135,175,160,173,173,129,220
ETH,29782,29082,17671,17557,7242,7497,2812,3300
FIN,599,571,705,669,695,680,722,877
FJI,169,161,139,134,99,95,36,43
FRA,7874,7531,7616,7762,8337,8620,7750,9760
GAB,514,505,364,349,194,168,51,60
GBR,8019,7664,8987,8862,8789,8985,7737,8820
GEO,533,489,537,525,491,547,332,518
GHA,7492,7179,4897,4688,2586,2576,765,869
GIN,3608,3553,1878,1954,626,883,233,380
GMB,663,652,347,361,135,150,45,44
GNQ,321,311,328,204,100,73,23,24
GRC,1002,945,1232,1157,1527,1548,1345,1645
GRD,15,15,16,16,12,11,4,5
GTM,4041,3874,2952,2990,1252,1500,572,715
GUY,146,141,120,115,82,83,36,41
HND,2077,1990,1701,1670,834,891,328,394
HRV,407,383,514,494,563,570,485,669
HTI,2456,2387,1857,1914,904,989,397,478
HUN,962,913,1225,1179,1378,1408,1022,1553
IDN,48320,45935,42810,41926,33609,33389,12970,14546
IND,256077,230982,239771,215762,152739,145049,68502,71098
IRL,684,653,627,633,671,688,457,502
IRN,13493,12817,14514,14565,10025,9922,4365,4272
IRQ,9924,9394,6413,6152,3092,3182,919,1126
ISL,42,41,47,44,40,40,32,34
ISR,1576,1495,1176,1139,903,929,643,774
ITA,5525,5200,6677,6420,9187,9398,8040,9996
JAM,473,454,481,476,324,352,184,201
JOR,2231,2158,1664,1627,972,921,290,323
JPN,11008,10434,13619,12980,17723,17287,19390,24012
