ID,region_name,area,population_2020,capital,adm_div,okato,name2
1,Республика Адыгея,7792,463088,Майкоп,7 районов и 2 города,79,RU-AD
2,Республика Алтай,92903,220181,Горно-Алтайск,10 районов и 1 город,84,RU-AL
3,Республика Башкортостан,142947,4038151,Уфа,54 района и 21 город,80,RU-BA
4,Республика Бурятия,351334,985937,Улан-Удэ,21 район и 2 города,81,RU-BU
5,Республика Дагестан,50270,3110858,Махачкала,41 район и 10 городов,82,RU-DA
6,Республика Ингушетия,3123,507061,Магас,4 района и 4 города,26,RU-IN
7,Кабардино-Балкарская Республика,12470,868350,Нальчик,10 районов и 3 города,83,RU-KB
8,Республика Калмыкия,74731,271135,Элиста,13 районов и 1 город,85,RU-KL
9,Карачаево-Черкесская Республика,14277,465528,Черкесск,10 районов и 2 города,91,RU-KC
10,Республика Карелия,180520,614064,Петрозаводск,16 районов и 13 городов,86,RU-KR
11,Республика Коми,416774,820473,Сыктывкар,12 районов и 8 городов,87,RU-KO
12,Республика Крым,26081,1912622,Симферополь,18 районов и 16 городов,35,UA-43
13,Республика Марий Эл,23375,679417,Йошкар-Ола,14 районов и 4 города,88,RU-ME
14,Республика Мордовия,26128,790197,Саранск,22 района и 7 городов,89,RU-MO
15,Республика Саха (Якутия),3083523,971996,Якутск,33 района и 5 городов,98,RU-SA
16,Республика Северная Осетия,7987,696837,Владикавказ,8 районов и 1 город,90,RU-SE
17,Республика Татарстан,67847,3902642,Казань,43 района и 14 городов,92,RU-TA
18,Республика Тыва,168604,327383,Кызыл,17 районов и 2 города,93,RU-TY
19,Удмуртская Республика,42061,1500955,Ижевск,25 районов и 5 городов,94,RU-UD
20,Республика Хакасия,61569,534262,Абакан,8 районов и 5 городов,95,RU-KK
21,Чеченская Республика,16165,1478726,Грозный,17 районов и 5 городов,96,RU-CE
22,Чувашская Республика,18343,1217818,Чебоксары,21 район и 9 городов,97,RU-CU
23,Алтайский край,167996,2317153,Барнаул,60 районов и 11 городов,1,RU-ALT
24,Забайкальский край,431892,1059700,Чита,31 район и 5 городов,76,RU-ZAB
25,Камчатский край,464275,313016,Петропавловск-Камчатский,11 районов и 2 города,30,RU-KAM
26,Краснодарский край,75485,5675462,Краснодар,37 районов и 15 городов,3,RU-KDA
27,Красноярский край,2366797,2866255,Красноярск,54 района и 19 городов,4,RU-KYA
28,Пермский край,160236,2599260,Пермь,33 района и 14 городов,57,RU-PER
29,Приморский край,164673,1895868,Владивосток,22 района и 12 городов,5,RU-PRI
30,Ставропольский край,66160,2803573,Ставрополь,26 районов и 10 городов,7,RU-STA
