name,iso_name,population,population_urban,population_rural
Altayskiy_kray_Russia,RU-ALT,2317052,1320066,996986
Amursk_oblast_Russia,RU-AMU,790676,535760,254916
Arkhangelsk_oblast_Russia,RU-ARK,1136387,893305,243082
Astrahan_oblast_Russia,RU-AST,1005967,671311,334656
Belgorod_oblast_Russia,RU-BEL,1547532,1044622,502910
Briansk_oblast_Russia,RU-BRY,1192570,839959,352611
Vladimir_oblast_Russia,RU-VLA,1358538,1063144,295394
Volgograd_oblast_Russia,RU-VGG,2491751,1925884,565867
Vologda_oblast_Russia,RU-VLG,1160721,843528,317193
Voronezh_oblast_Russia,RU-VOR,2323657,1578552,745105
Moscow_Russia,RU-MOW,12692466,12479250,213216
Saint_Petersburg_Russia,RU-SPE,5392992,5392992,0
Sevastopol_Russia,UA-40,448829,418486,30343
Jewish_Autonomous_oblast_Russia,RU-YEV,158381,108743,49638
Zabaykalskiy_kray_Russia,RU-ZAB,1059657,722656,337001
Ivanovo_oblast_Russia,RU-IVA,997196,814762,182434
Irkutsk_oblast_Russia,RU-IRK,2390827,1866866,523961
Kaliningrad_oblast_Russia,RU-KGD,1012253,786074,226179
Kaluga_oblast_Russia,RU-KLU,1000070,758622,241448
Kamchatskiy_kray_Russia,RU-KAM,312438,245128,67310
Kemerovo_oblast_Russia,RU-KEM,2657758,2287209,370549
Kirov_oblast_Russia,RU-KIR,1262549,982009,280540
Kostroma_oblast_Russia,RU-KOS,633392,460492,172900
Krasnodarskiy_kray_Russia,RU-KDA,5677786,3142394,2535392
Krasnoyarskiy_kray_Russia,RU-KYA,2867875,2223281,644594
Kurgan_oblast_Russia,RU-KGN,826941,514369,312572
Kursk_oblast_Russia,RU-KRS,1103059,755463,347596
Leningradskaya_oblast_Russia,RU-LEN,1876392,1259045,617347
Lipetsk_oblast_Russia,RU-LIP,1139492,736624,402868
Magadan_oblast_Russia,RU-MAG,140199,134720,5479
Moscow_oblast_Russia,RU-MOS,7687647,6255436,1432211
Murmansk_oblast_Russia,RU-MUR,741511,683463,58048
Nenetskiy_autonomous_oblast_Russia,RU-NEN,44110,32542,11568
Nizhegorodskaya_oblast_Russia,RU-NIZ,3203818,2553182,650636
Novgorod_oblast_Russia,RU-NGR,596173,426224,169949
Novosibirsk_oblast_Russia,RU-NVS,2798251,2216509,581742
Omsk_oblast_Russia,RU-OMS,1926562,1405124,521438
Orenburg_oblast_Russia,RU-ORE,1956256,1186257,769999
Orel_oblast_Russia,RU-ORL,733682,490115,243567
Pensa_oblast_Russia,RU-PNZ,1304825,899237,405588
Perm_oblast_Russia,RU-PER,2599301,1973085,626216
Primorskiy_kray_Russia,RU-PRI,1895305,1468917,426388
Pskov_oblast_Russia,RU-PSK,626046,445301,180745
Republic_of_Adygeia_Russia,RU-AD,463453,219137,244316
Altay_republic_Russia,RU-AL,220140,64478,155662
Republic_of_Bashkortostan_Russia,RU-BA,4037811,2520970,1516841
Republic_of_Buriatia_Russia,RU-BU,986109,584178,401931
Republic_of_Dagestan_Russia,RU-DA,3111353,1409380,1701973
Ingushetia_republic_Russia,RU-IN,506688,281966,224722
Republic_of_Kabardino-Balkaria_Russia,RU-KB,868174,451834,416340
Republic_of_Kalmykia_Russia,RU-KL,271035,124393,146642
Republic_of_Karachaevo-Cherkessia_Russia,RU-KC,465669,199703,265966
Republic_of_Karelia_Russia,RU-KR,614628,498156,116472
Komi_republic_Russia,RU-KO,820171,641442,178729
Republic_of_Crimea_Russia,UA-43,1912025,974739,937286
Republic_of_Mariy_El_Russia,RU-ME,679094,455179,223915
Republic_of_Mordovia_Russia,RU-MO,790829,504905,285924
Saha_republic_Russia,RU-SA,970105,640897,329208
Republic_of_North_Osetia_-_Alania_Russia,RU-SE,697064,448320,248744
Republic_of_Tatarstan_Russia,RU-TA,3902642,3001688,900954
Republic_of_Tyva_Russia,RU-TY,327388,177665,149723
Republic_of_Udmurtia_Russia,RU-UD,1501005,992330,508675
Republic_of_Hakassia_Russia,RU-KK,534186,372955,161231
Chechen_republic_Russia,RU-CE,1476752,544760,931992
Rostov_oblast_Russia,RU-ROS,4195327,2860931,1334396
Ryazan_oblast_Russia,RU-RYA,1108924,800800,308124
Samara_oblast_Russia,RU-SAM,3179026,2537265,641761
Saratov_oblast_Russia,RU-SAR,2421785,1830957,590828
Sakhalin_oblast_Russia,RU-SAK,488453,402271,86182
Sverdlov_oblast_Russia,RU-SVE,4310861,3664833,646028
Smolensk_oblast_Russia,RU-SMO,934747,671445,263302
Stavropolskiy_kray_Russia,RU-STA,2803021,1655987,1147034
Tambov_oblast_Russia,RU-TAM,1006962,618169,388793
Tver_oblast_Russia,RU-TVE,1260345,959753,300592
Tomsk_oblast_Russia,RU-TOM,1079051,781262,297789
Tula_oblast_Russia,RU-TUL,1466025,1096891,369134
Tumen_oblast_Russia,RU-TYU,3755778,3042591,713187
Ulianovsk_oblast_Russia,RU-ULY,1229687,932510,297177
Habarovskiy_kray_Russia,RU-KHA,1315310,1079726,235584
Hanty-Mansiyskiy_AO_Russia,RU-KHM,1674086,1548527,125559
Cheliabinsk_oblast_Russia,RU-CHE,3466960,2865000,601960
Republic_of_Chuvashia_Russia,RU-CU,1217820,772101,445719
Chukotskiy_autonomous_oblast_Russia,RU-CHU,50726,36273,14453
Yamalo-Nenetskiy_AO_Russia,RU-YAN,544008,456604,87404
Yaroslavl_oblast_Russia,RU-YAR,1253189,1022434,230755
