iso_alpha3,smoking
ALB,28.7
DZA,15.6
AND,33.5
ARG,21.8
ARM,24.1
AUS,14.7
AUT,29.6
AZE,20.8
BHS,11.5
BHR,26.4
BGD,23.0
BRB,7.8
BLR,26.7
BEL,28.2
BEN,6.4
BIH,38.9
BRA,13.9
BRN,16.9
BGR,37.0
BFA,12.5
KHM,17.2
CAN,14.3
CPV,9.1
CHL,37.8
CHN,25.6
COL,9.0
COG,26.9
CRI,11.9
HRV,37.0
CUB,35.2
CYP,36.4
CZE,34.3
DNK,19.1
DJI,13.1
DOM,13.7
ECU,7.1
EGY,25.2
SLV,9.9
ERI,5.7
EST,31.3
ETH,4.4
FJI,22.6
FIN,20.4
FRA,32.7
GMB,15.5
GEO,28.8
DEU,30.6
GHA,3.9
GRC,43.4
HTI,12.7
HND,2.0
HUN,30.6
ISL,14.7
IND,11.5
IDN,39.4
IRN,11.0
IRL,24.3
ISR,25.2
ITA,23.7
JAM,16.8
JPN,22.1
KAZ,24.0
KEN,10.7
KWT,22.5
KGZ,26.5
LAO,28.9
LVA,37.0
LBN,33.8
LBR,9.8
LTU,28.8
LUX,23.5
MYS,21.5
MDV,28.3
MLT,25.5
MUS,21.6
MEX,14.0
MDA,24.2
MNG,25.6
MNE,45.9
MAR,23.4
MOZ,16.6
NAM,21.4
NPL,22.8
NLD,25.8
NZL,16.0
NER,7.7
NGA,5.8
NOR,20.2
OMN,11.1
PAK,20.1
PAN,6.1
PNG,36.3
PRY,13.4
PER,4.8
PHL,24.3
POL,28.0
PRT,22.7
QAT,20.6
ROU,29.7
RUS,39.3
RWA,12.3
SAU,15.6
SEN,8.2
SRB,38.9
SYC,21.5
SGP,16.5
SVK,30.1
SVN,22.5
ZAF,20.3
KOR,23.3
ESP,29.3
LKA,13.0
SUR,25.0
SWZ,9.0
SWE,18.8
CHE,25.7
TZA,14.8
THA,19.9
TLS,42.6
TGO,7.4
TUN,32.7
TUR,27.2
UGA,10.0
UKR,28.9
ARE,28.9
GBR,22.3
USA,21.8
URY,16.8
UZB,12.6
VNM,22.8
ZMB,13.8
ZWE,15.8
